FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
614069	Flow cytometry compensation or control	38071586	20120112_24888-1149 IC.614069.fcs	20120112_24888-1149 IC.fcs	5300
614070	Flow cytometry result	21296221	Transitional_074015 Day 0.614070.fcs	Transitional_074015 Day 0.fcs	5300
614071	Flow cytometry compensation or control	84345208	Transitional_24888 114 IC.614071.fcs	Transitional_24888 114 IC.fcs	5300
614072	Flow cytometry result	25045262	T-helper_074015 Day 0.614072.fcs	T-helper_074015 Day 0.fcs	5300
614073	Flow cytometry result	64331672	20120112_074015 WK 12.614073.fcs	20120112_074015 WK 12.fcs	5300
614074	Flow cytometry result	56120212	Transitional_074015 Wk 12.614074.fcs	Transitional_074015 Wk 12.fcs	5300
614075	Flow cytometry result	21761087	T-helper_074015 Wk 12.614075.fcs	T-helper_074015 Wk 12.fcs	5300
614076	Flow cytometry result	90268910	20120112_074015 WK 24.614076.fcs	20120112_074015 WK 24.fcs	5300
614077	Flow cytometry result	44394032	Transitional_074015 Wk 24.614077.fcs	Transitional_074015 Wk 24.fcs	5300
614078	Flow cytometry result	11385102	T-helper_074015 Wk 24.614078.fcs	T-helper_074015 Wk 24.fcs	5300
614079	Flow cytometry result	46689548	ARA06_B-MEM_074026 DAY 0.614079.fcs	ARA06_B-MEM_074026 DAY 0.fcs	5300
614080	Flow cytometry result	14058712	ARA06_TRAN_074026 DAY 0.614080.fcs	ARA06_TRAN_074026 DAY 0.fcs	5300
614081	Flow cytometry compensation or control	189722679	ARA06_TRAN_33286-04 NC.614081.fcs	ARA06_TRAN_33286-04 NC.fcs	5300
614082	Flow cytometry result	30228314	T COMBO_074026 DAY 0.614082.fcs	T COMBO_074026 DAY 0.fcs	5300
614083	Flow cytometry result	73915917	ARA06_B-MEM_074026 WK12.614083.fcs	ARA06_B-MEM_074026 WK12.fcs	5300
614084	Flow cytometry result	52918262	ARA06_TRAN_074026 WK 12.614084.fcs	ARA06_TRAN_074026 WK 12.fcs	5300
614085	Flow cytometry result	40970070	T COMBO_074026 WK 12.614085.fcs	T COMBO_074026 WK 12.fcs	5300
614086	Flow cytometry result	56109092	ARA06_B-MEM_074026 WK24.614086.fcs	ARA06_B-MEM_074026 WK24.fcs	5300
614087	Flow cytometry result	17766939	T COMBO_074026 WK 24.614087.fcs	T COMBO_074026 WK 24.fcs	5300
614088	Flow cytometry result	10388961	Specimen_001_074048 day 0.614088.fcs	Specimen_001_074048 day 0.fcs	5300
614089	Flow cytometry result	11348713	Transitional_074048F Day 0.614089.fcs	Transitional_074048F Day 0.fcs	5300
614090	Flow cytometry result	7110079	T helper_074048F Day 0.614090.fcs	T helper_074048F Day 0.fcs	5300
614091	Flow cytometry compensation or control	30403931	T helper_24888 1146IC.614091.fcs	T helper_24888 1146IC.fcs	5300
614092	Flow cytometry compensation or control	13019842	T helper_FMO.614092.fcs	T helper_FMO.fcs	5300
614093	Flow cytometry result	15151256	Specimen_001_074048 wk 12.614093.fcs	Specimen_001_074048 wk 12.fcs	5300
614094	Flow cytometry result	9923624	Transitional_074048F Wk 12.614094.fcs	Transitional_074048F Wk 12.fcs	5300
614095	Flow cytometry result	15321851	T helper_074048F Wk12.614095.fcs	T helper_074048F Wk12.fcs	5300
614096	Flow cytometry result	57815863	Specimen_001_074048 wk 24.614096.fcs	Specimen_001_074048 wk 24.fcs	5300
614097	Flow cytometry result	73744919	Transitional_074048F Wk24.614097.fcs	Transitional_074048F Wk24.fcs	5300
614098	Flow cytometry result	33301186	T helper_074048F Wk 24.614098.fcs	T helper_074048F Wk 24.fcs	5300
614099	Flow cytometry result	161675852	ARA06_B-MEM_074054 DAY 0.614099.fcs	ARA06_B-MEM_074054 DAY 0.fcs	5300
614100	Flow cytometry result	215355306	ARA06_TRAN_074054 DAY 0.614100.fcs	ARA06_TRAN_074054 DAY 0.fcs	5300
614101	Flow cytometry result	44155349	T COMBO_074054 DAY 0.614101.fcs	T COMBO_074054 DAY 0.fcs	5300
614102	Flow cytometry result	164917148	ARA06_B-MEM_074054 WK12.614102.fcs	ARA06_B-MEM_074054 WK12.fcs	5300
614103	Flow cytometry result	119144798	ARA06_TRAN_074054 WK 12.614103.fcs	ARA06_TRAN_074054 WK 12.fcs	5300
614104	Flow cytometry result	45664470	T COMBO_074054 WK 12.614104.fcs	T COMBO_074054 WK 12.fcs	5300
614105	Flow cytometry result	140232235	ARA06_B-MEM_074054 WK24.614105.fcs	ARA06_B-MEM_074054 WK24.fcs	5300
